Date,Open,High,Low,Close,Adj Close,Volume
2014-05-29,30.090000,30.270000,29.985001,30.270000,22.572645,20000
2014-05-30,30.180000,30.367500,30.180000,30.352501,22.634167,26800
2014-06-02,30.450001,30.450001,30.127501,30.420000,22.684500,21200
2014-06-03,30.254999,30.389999,30.202499,30.389999,22.662128,29600
2014-06-04,30.270000,30.532499,30.217501,30.525000,22.762802,6000
2014-06-05,30.592501,30.937500,30.389999,30.892500,23.036848,19200
2014-06-06,31.042500,31.215000,31.035000,31.192499,23.260563,18000
2014-06-09,31.230000,31.402500,31.162500,31.267500,23.316492,7600
2014-06-10,31.184999,31.237499,31.125000,31.237499,23.294119,6000
2014-06-11,31.035000,31.110001,30.922501,31.057501,23.159889,15200
2014-06-12,30.990000,31.132500,30.495001,30.607500,22.824322,37200
2014-06-13,30.637501,30.840000,30.547501,30.787500,22.958549,29200
2014-06-16,30.712500,30.959999,30.667500,30.847500,23.003292,5600
2014-06-17,30.727501,31.035000,30.727501,31.004999,23.120741,18000
2014-06-18,31.027500,31.492500,30.922501,31.477501,23.473087,32000
2014-06-19,31.492500,31.559999,31.342501,31.514999,23.501051,3600
2014-06-20,31.762501,32.235001,31.522499,31.680000,23.624098,42400
2014-06-23,31.687500,31.687500,31.530001,31.650000,23.601725,12000
2014-06-24,31.627501,31.815001,31.207500,31.260000,23.310900,20800
2014-06-25,31.147499,31.590000,31.139999,31.559999,23.534611,26000
2014-06-26,31.469999,31.485001,31.094999,31.485001,23.478682,28000
2014-06-27,31.522499,31.612499,31.312500,31.605000,23.568167,25200
2014-06-30,31.575001,31.695000,31.559999,31.582500,23.551388,23200
2014-07-01,31.792500,32.160000,31.792500,32.017502,23.875774,7600
2014-07-02,32.070000,32.099998,32.002499,32.017502,23.875774,8400
2014-07-03,32.272499,32.392502,32.227501,32.377499,24.144232,6800
2014-07-07,32.227501,32.264999,32.062500,32.130001,23.959667,10400
2014-07-08,32.197498,32.197498,31.590000,31.732500,23.663246,22000
2014-07-09,31.950001,32.047501,31.762501,31.995001,23.858997,24800
2014-07-10,31.395000,31.912500,31.372499,31.777500,23.696798,24800
